Hour,NormalizedLoad
6265,0.690350198
6266,0.681582303
6267,0.680631333
6268,0.695775531
6269,0.700628884
6270,0.722323415
6271,0.735858813
6272,0.731004114
6273,0.71482383
6274,0.73557214
6275,0.722694679
6276,0.706047344
6277,0.703892441
6278,0.684640619
6279,0.675341243
6280,0.68972276
6281,0.680678144
6282,0.682564428
6283,0.704036781
6284,0.698207154
6285,0.690225781
6286,0.704111418
6287,0.697501604
6288,0.679844921
6289,0.695934225
6290,0.683947944
6291,0.682882601
6292,0.70354422
6293,0.70861074
6294,0.722546889
6295,0.736728901
6296,0.741161807
6297,0.717355478
6298,0.742630201
6299,0.726356429
6300,0.713745116
6301,0.704065705
6302,0.688026796
6303,0.681374418
6304,0.688775001
6305,0.686869212
6306,0.683995236
6307,0.704450347
6308,0.704699159
6309,0.691810702
6310,0.70899231
6311,0.703339811
6312,0.678912945
6313,0.691910016
6314,0.686502364
6315,0.68562506
6316,0.702912587
6317,0.706413882
6318,0.728036647
6319,0.741438048
6320,0.741124448
6321,0.720205293
6322,0.740305341
6323,0.723138366
6324,0.71003487
6325,0.709227546
6326,0.688540961
6327,0.683231872
6328,0.688504864
6329,0.682391862
6330,0.686805716
6331,0.701833306
6332,0.703285223
6333,0.690232561
6334,0.707777654
6335,0.698592973
6336,0.678607018
6337,0.715673377
6338,0.71110835
6339,0.694413551
6340,0.714916687
6341,0.719981235
6342,0.74009189
6343,0.737664204
6344,0.74287122
6345,0.717679587
6346,0.729836659
6347,0.715874332
6348,0.712195116
6349,0.704914403
6350,0.705204208
6351,0.678739301
6352,0.687157263
6353,0.653605687
6354,0.665522905
6355,0.675675529
6356,0.649575133
6357,0.637262453
6358,0.64600843
6359,0.631475273
6360,0.614267762
6361,0.633802986
6362,0.605285571
6363,0.607141584
6364,0.621837403
6365,0.597932978
6366,0.593411819
6367,0.619231919
6368,0.577398734
6369,0.589740055
6370,0.582614362
6371,0.56777216
6372,0.566141443
6373,0.567130564
6374,0.548113609
6375,0.549108149
6376,0.547221026
6377,0.547130996
6378,0.535676534
6379,0.55804228
6380,0.548221666
6381,0.537842311
6382,0.539964299
6383,0.527871581
6384,0.546345151
6385,0.562931928
6386,0.53793111
6387,0.545175363
6388,0.544342085
6389,0.549447317
6390,0.548204835
6391,0.555920736
6392,0.561797017
6393,0.537414289
6394,0.543766825
6395,0.546484546
6396,0.524297124
6397,0.531787066
6398,0.529145697
6399,0.514731031
6400,0.539538051
6401,0.531398201
6402,0.541997199
6403,0.554341252
6404,0.569676169
6405,0.561351175
6406,0.568683928
6407,0.574458613
6408,0.579911309
6409,0.610437947
6410,0.616764349
6411,0.617514272
6412,0.657456962
6413,0.666562035
6414,0.688767338
6415,0.703182496
6416,0.705887479
6417,0.681188321
6418,0.707756074
6419,0.705862551
6420,0.701169802
6421,0.701551685
6422,0.684322523
6423,0.681669901
6424,0.673538461
6425,0.680196003
6426,0.674336905
6427,0.699328425
6428,0.690876764
6429,0.6808202
6430,0.672174678
6431,0.693866239
6432,0.657576018
6433,0.691084265
6434,0.678593269
6435,0.679598955
6436,0.699393024
6437,0.70922161
6438,0.724199971
6439,0.738002021
6440,0.740165743
6441,0.717332026
6442,0.739013152
6443,0.72614608
6444,0.713076621
6445,0.70255626
6446,0.69163157
6447,0.683784447
6448,0.694730669
6449,0.689592453
6450,0.683324809
6451,0.708518122
6452,0.70005858
6453,0.685832346
6454,0.705112755
6455,0.699134007
6456,0.682546519
6457,0.694282239
6458,0.682374901
6459,0.68725724
6460,0.704328258
6461,0.708963461
6462,0.730055013
6463,0.74156509
6464,0.740004514
6465,0.718510189
6466,0.74115158
6467,0.726765555
6468,0.71352582
6469,0.709470787
6470,0.693512806
6471,0.681485679
6472,0.696219453
6473,0.686203734
6474,0.685309291
6475,0.710063899
6476,0.706196597
6477,0.692212579
6478,0.707281574
6479,0.704231182
6480,0.687229371
6481,0.696025783
6482,0.686412475
6483,0.68390984
6484,0.703404436
6485,0.711014382
6486,0.729139412
6487,0.744578105
6488,0.741660235
6489,0.722582011
6490,0.741829341
6491,0.725448465
6492,0.711472736
6493,0.708328646
6494,0.690222566
6495,0.680677467
6496,0.691392037
6497,0.687911493
6498,0.688298376
6499,0.705906264
6500,0.706786684
6501,0.68704473
6502,0.709465837
6503,0.700806801
6504,0.679348886
6505,0.712265699
6506,0.710545537
6507,0.692992007
6508,0.709639598
6509,0.721156769
6510,0.739148868
6511,0.734175952
6512,0.74206504
6513,0.718765985
6514,0.728980673
6515,0.7120953
6516,0.710257007
6517,0.704970163
6518,0.704629268
6519,0.675361868
6520,0.691164584
6521,0.656545936
